order_id,customer_id,order_date,order_status,sales_channel
O000099,C08132,2025-07-21,Delivered,Mobile App
O000100,C12536,2025-08-03,Processing,Website
O000101,C15084,2025-06-01,Delivered,Mobile App
O000102,C07458,2025-08-17,Delivered,Website
O000103,C10757,2025-04-12,Processing,Marketplace
O000104,C09147,2025-07-20,Delivered,Website
O000105,C17571,2025-04-02,Cancelled,Website
O000106,C08560,2024-08-05,Delivered,Marketplace
O000107,C01254,2025-07-04,Delivered,Website
O000108,C10279,2025-04-07,Delivered,Mobile App
O000109,C12623,2025-09-07,Delivered,Website
O000110,C14289,2024-05-19,Delivered,Mobile App
O000111,C06457,2025-05-02,Delivered,Marketplace
O000112,C10820,2025-11-18,Delivered,Mobile App
O000113,C09841,2025-10-12,Delivered,Website
O000114,C13186,2025-12-31,Delivered,Website
O000115,C12424,2025-07-22,Shipped,Website
O000116,C18649,2025-03-06,Delivered,Mobile App
O000117,C09958,2025-05-05,Delivered,Mobile App
O000118,C19880,2025-10-21,Delivered,Website
O000119,C07003,2025-07-16,Delivered,Marketplace
O000120,C05561,2025-07-31,Delivered,Mobile App
O000121,C10984,2024-09-30,Shipped,Mobile App
O000122,C10172,2025-03-03,Shipped,Website
O000123,C01515,2024-10-23,Returned,Mobile App
O000124,C02387,2025-12-08,Delivered,Mobile App
O000125,C06372,2025-12-15,Delivered,Website
O000126,C04836,2025-11-04,Delivered,Marketplace
O000127,C03493,2025-05-14,Delivered,Mobile App
O000128,C16973,2025-12-22,Delivered,Website
O000129,C03977,2025-04-01,Delivered,Mobile App
O000130,C17405,2025-09-14,Delivered,Marketplace
O000131,C14503,2025-10-26,Delivered,Marketplace
O000132,C14612,2025-01-11,Shipped,Mobile App
O000133,C08494,2024-10-03,Processing,Website
O000134,C17082,2025-06-07,Delivered,Website
O000135,C02539,2025-08-12,Delivered,Website
O000136,C10477,2025-12-06,Delivered,Website
O000137,C12552,2024-10-28,Delivered,Website
O000138,C13357,2025-05-07,Delivered,Website
O000139,C06778,2025-08-06,Delivered,Mobile App
O000140,C00641,2025-11-20,Delivered,Mobile App
O000141,C11527,2025-02-16,Shipped,Marketplace
O000142,C13731,2025-12-10,Shipped,Mobile App
O000143,C19768,2025-07-01,Delivered,Website
O000144,C15914,2024-09-19,Delivered,Mobile App
O000145,C13249,2024-12-07,Processing,Marketplace
O000146,C17503,2024-06-24,Cancelled,Mobile App
O000147,C00889,2025-03-13,Delivered,Website
O000148,C15129,2025-09-20,Delivered,Website
O000149,C06936,2025-08-22,Delivered,Mobile App
O000150,C12424,2024-12-30,Shipped,Mobile App
O000151,C08267,2025-01-05,Delivered,Mobile App
O000152,C01707,2025-08-23,Delivered,Website
O000153,C01320,2024-03-23,Cancelled,Website
O000154,C00668,2025-10-11,Delivered,Website
O000155,C03749,2025-12-26,Cancelled,Mobile App
O000156,C08397,2025-11-17,Delivered,Mobile App
O000157,C03754,2025-05-30,Returned,Website
O000158,C00842,2025-07-15,Delivered,Marketplace
O000159,C12299,2025-07-31,Cancelled,Website
O000160,C19402,2025-10-16,Processing,Website
O000161,C09883,2025-11-12,Shipped,Mobile App
O000162,C18545,2025-11-01,Delivered,Mobile App
O000163,C12143,2024-07-01,Delivered,Website
O000164,C13765,2025-12-10,Delivered,Website
O000165,C11869,2025-08-24,Processing,Mobile App
O000166,C05014,2025-06-30,Delivered,Mobile App
O000167,C08851,2025-12-08,Shipped,Mobile App
O000168,C19415,2025-10-04,Delivered,Website
O000169,C02840,2025-05-07,Processing,Website
O000170,C15228,2025-11-12,Delivered,Website
O000171,C00941,2025-07-25,Processing,Website
O000172,C06951,2025-06-12,Shipped,Website
O000173,C19535,2025-11-23,Processing,Mobile App
O000174,C16929,2024-10-09,Delivered,Mobile App
O000175,C16010,2025-04-05,Delivered,Mobile App
O000176,C16084,2025-11-22,Shipped,Website
O000177,C07262,2025-10-28,Delivered,Website
O000178,C19057,2025-10-08,Delivered,Mobile App
O000179,C13943,2025-10-02,Delivered,Mobile App
O000180,C08878,2025-06-28,Delivered,Website
O000181,C06311,2025-12-02,Delivered,Mobile App
O000182,C06067,2025-04-29,Delivered,Mobile App
O000183,C19320,2025-10-10,Delivered,Marketplace
O000184,C06361,2025-05-18,Delivered,Website
O000185,C00464,2025-10-17,Delivered,Website
O000186,C01787,2025-12-27,Delivered,Marketplace
O000187,C16086,2025-02-12,Processing,Mobile App
O000188,C15382,2025-05-18,Delivered,Website
O000189,C01684,2025-03-02,Cancelled,Mobile App
O000190,C02142,2025-08-17,Delivered,Mobile App
O000191,C01757,2025-04-13,Delivered,Mobile App
O000192,C09957,2025-10-21,Returned,Website
O000193,C13638,2024-12-19,Shipped,Website
O000194,C14508,2025-11-06,Processing,Marketplace
O000195,C10007,2025-06-14,Delivered,Mobile App
O000196,C03252,2025-12-05,Delivered,Website
O000197,C02661,2025-06-18,Delivered,Mobile App
O000198,C05130,2024-04-21,Delivered,Mobile App
O000199,C15399,2025-11-04,Delivered,Website
O000200,C09265,2025-12-10,Processing,Website
O000201,C07649,2025-02-19,Shipped,Mobile App
O000202,C06483,2025-04-01,Delivered,Website
O000203,C04883,2025-02-22,Processing,Website
O000204,C05437,2025-07-04,Delivered,Mobile App
O000205,C09458,2025-05-12,Delivered,Mobile App
O000206,C13190,2024-11-19,Delivered,Mobile App
O000207,C02636,2025-11-22,Delivered,Website
O000208,C10562,2025-09-22,Delivered,Website
O000209,C18849,2024-06-23,Returned,Mobile App
O000210,C08832,2025-12-21,Delivered,Mobile App
O000211,C15418,2025-11-13,Delivered,Marketplace
O000212,C05948,2025-12-20,Delivered,Mobile App
O000213,C02990,2025-05-06,Delivered,Website
O000214,C03428,2025-02-24,Delivered,Mobile App
O000215,C09445,2025-06-22,Shipped,Mobile App
O000216,C14904,2025-01-23,Delivered,Website
O000217,C13245,2025-10-08,Processing,Website
O000218,C17780,2025-11-23,Delivered,Website
O000219,C11855,2025-11-25,Delivered,Mobile App
O000220,C06671,2024-11-15,Delivered,Marketplace
O000221,C14357,2025-12-31,Delivered,Website
O000222,C19952,2025-11-06,Delivered,Website
O000223,C18050,2024-08-12,Delivered,Website
O000224,C03718,2025-12-08,Cancelled,Mobile App
O000225,C05046,2025-10-11,Cancelled,Website
O000226,C08960,2025-03-25,Processing,Marketplace
O000227,C07987,2025-12-11,Delivered,Website
O000228,C19641,2025-11-05,Shipped,Website
O000229,C02288,2025-11-23,Shipped,Marketplace
O000230,C11138,2025-09-11,Delivered,Website
O000231,C09784,2025-10-27,Processing,Website
O000232,C15871,2025-07-19,Delivered,Mobile App
O000233,C12361,2025-12-03,Cancelled,Marketplace
O000234,C07826,2025-11-04,Delivered,Marketplace
O000235,C13461,2024-05-21,Delivered,Mobile App
O000236,C12493,2025-06-13,Returned,Mobile App
O000237,C04985,2025-05-06,Returned,Website
O000238,C19340,2025-11-29,Processing,Marketplace
O000239,C14428,2025-02-03,Delivered,Mobile App
O000240,C04724,2025-06-18,Processing,Marketplace
O000241,C02452,2025-05-05,Shipped,Website
O000242,C13025,2025-12-27,Processing,Marketplace
O000243,C17486,2025-08-14,Returned,Mobile App
O000244,C15990,2025-12-30,Delivered,Website
O000245,C09417,2025-02-02,Shipped,Website
O000246,C03226,2025-05-10,Delivered,Mobile App
O000247,C00949,2024-08-10,Delivered,Website
O000248,C11747,2025-10-31,Delivered,Website
O000249,C13503,2025-08-31,Delivered,Website
O000250,C05737,2024-11-03,Delivered,Website
O000251,C07892,2025-08-31,Cancelled,Website
O000252,C15111,2025-07-28,Delivered,Website
O000253,C00308,2025-10-11,Cancelled,Mobile App
O000254,C05177,2025-11-26,Delivered,Website
O000255,C19254,2025-12-29,Delivered,Website
O000256,C08196,2025-08-11,Processing,Website
O000257,C12606,2025-07-22,Delivered,Website
O000258,C11763,2025-12-26,Delivered,Mobile App
O000259,C00719,2025-12-25,Delivered,Website
O000260,C01608,2025-11-21,Delivered,Mobile App
O000261,C09379,2024-09-24,Delivered,Website
O000262,C06231,2025-10-12,Delivered,Mobile App
O000263,C04482,2024-07-09,Cancelled,Mobile App
O000264,C10124,2025-12-08,Delivered,Website
O000265,C04307,2025-03-03,Cancelled,Website
O000266,C13616,2024-12-14,Delivered,Mobile App
O000267,C11989,2025-11-17,Delivered,Website
O000268,C05392,2025-08-25,Cancelled,Marketplace
O000269,C09672,2025-12-02,Processing,Mobile App
O000270,C15347,2025-08-10,Delivered,Marketplace
O000271,C13023,2025-11-13,Delivered,Mobile App
O000272,C00457,2024-11-22,Delivered,Mobile App
O000273,C08591,2025-07-03,Processing,Marketplace
O000274,C03551,2025-12-14,Delivered,Website
O000275,C18397,2025-08-15,Cancelled,Website
O000276,C02072,2025-09-12,Processing,Marketplace
O000277,C09903,2025-12-06,Delivered,Website
O000278,C01220,2025-04-19,Returned,Website
O000279,C07694,2025-12-12,Delivered,Mobile App
O000280,C17702,2025-07-14,Delivered,Mobile App
O000281,C13595,2025-09-16,Processing,Mobile App
O000282,C09167,2025-06-27,Delivered,Website
O000283,C14572,2025-03-20,Processing,Website
O000284,C12037,2025-12-02,Cancelled,Mobile App
O000285,C01985,2025-04-23,Delivered,Marketplace
O000286,C14901,2024-04-04,Delivered,Mobile App
O000287,C19568,2024-07-06,Delivered,Website
O000288,C04127,2025-12-18,Delivered,Mobile App
O000289,C18161,2025-10-17,Delivered,Mobile App
O000290,C07635,2025-06-06,Shipped,Mobile App
O000291,C19530,2025-10-04,Delivered,Marketplace
O000292,C04260,2025-10-10,Delivered,Website
O000293,C00845,2025-12-22,Delivered,Mobile App
O000294,C07797,2025-08-31,Delivered,Website
O000295,C01718,2025-09-10,Shipped,Mobile App
O000296,C02083,2025-11-02,Delivered,Website
O000297,C19454,2025-08-01,Delivered,Website
O000298,C01421,2025-12-17,Shipped,Marketplace
O000299,C17087,2025-05-06,Delivered,Marketplace
O000300,C01994,2025-10-07,Processing,Website
O000301,C03538,2025-11-23,Delivered,Website
O000302,C02648,2025-02-03,Delivered,Website
O000303,C09012,2025-12-31,Delivered,Website
O000304,C19576,2025-06-25,Delivered,Mobile App
O000305,C14097,2025-07-23,Shipped,Website
O000306,C18067,2024-12-02,Delivered,Marketplace
O000307,C13560,2025-08-01,Processing,Website
O000308,C03116,2025-04-13,Delivered,Mobile App
O000309,C12266,2025-11-12,Delivered,Mobile App
O000310,C02990,2025-11-07,Delivered,Website
O000311,C12211,2025-12-05,Delivered,Website
O000312,C18403,2025-12-18,Delivered,Website
O000313,C13859,2025-03-16,Returned,Mobile App
O000314,C11523,2024-09-18,Delivered,Website
O000315,C15801,2025-04-14,Processing,Website
O000316,C18228,2025-07-04,Delivered,Website
O000317,C07411,2025-06-27,Processing,Marketplace
O000318,C18244,2024-08-11,Delivered,Mobile App
O000319,C08764,2025-04-15,Delivered,Mobile App
O000320,C10125,2025-11-22,Delivered,Website
O000321,C04695,2025-11-04,Delivered,Website
O000322,C01005,2024-12-28,Shipped,Website
O000323,C13758,2025-06-06,Delivered,Website
O000324,C10630,2025-05-21,Processing,Website
O000325,C01631,2025-12-26,Delivered,Website
O000326,C13895,2025-07-13,Delivered,Website
O000327,C07064,2025-10-26,Delivered,Website
O000328,C03634,2025-10-07,Delivered,Mobile App
O000329,C17267,2025-12-25,Delivered,Website
O000330,C19639,2024-03-06,Delivered,Website
O000331,C06922,2024-09-24,Shipped,Website
O000332,C03932,2025-02-18,Delivered,Website
O000333,C04234,2025-07-17,Delivered,Website
O000334,C18309,2025-02-17,Delivered,Marketplace
O000335,C01387,2025-10-01,Delivered,Marketplace
O000336,C10259,2025-12-14,Delivered,Website
O000337,C13687,2025-01-28,Delivered,Website
O000338,C10643,2025-12-30,Shipped,Mobile App
O000339,C11858,2024-10-29,Delivered,Website
O000340,C14277,2025-07-26,Delivered,Website
O000341,C10168,2025-02-08,Delivered,Mobile App
O000342,C02503,2025-05-24,Delivered,Mobile App
O000343,C06354,2025-08-18,Delivered,Marketplace
O000344,C04840,2025-07-26,Delivered,Website
O000345,C05686,2025-10-23,Delivered,Mobile App
O000346,C02470,2025-12-29,Returned,Mobile App
O000347,C15203,2025-11-22,Shipped,Website
O000348,C18498,2025-12-14,Delivered,Mobile App
O000349,C10360,2025-06-21,Delivered,Mobile App
O000350,C09923,2025-12-12,Delivered,Website
O000351,C02432,2025-09-25,Delivered,Website
O000352,C12083,2024-12-11,Delivered,Marketplace
O000353,C02959,2025-12-21,Delivered,Mobile App
O000354,C01345,2025-05-25,Cancelled,Mobile App
O000355,C06169,2025-08-10,Delivered,Mobile App
O000356,C02028,2025-06-25,Delivered,Marketplace
O000357,C11254,2025-11-24,Delivered,Website
O000358,C08119,2025-10-23,Delivered,Website
O000359,C17130,2025-11-11,Delivered,Website
O000360,C09270,2025-09-05,Delivered,Website
O000361,C19592,2025-05-09,Shipped,Mobile App
O000362,C02160,2025-10-27,Delivered,Mobile App
O000363,C09311,2025-02-25,Shipped,Mobile App
O000364,C19750,2024-11-17,Delivered,Mobile App
O000365,C04635,2025-01-09,Delivered,Mobile App
O000366,C12844,2024-11-08,Delivered,Marketplace
O000367,C10145,2025-06-08,Delivered,Mobile App
O000368,C04188,2025-12-28,Delivered,Marketplace
O000369,C17249,2024-05-01,Delivered,Website
O000370,C11857,2024-12-25,Delivered,Website
O000371,C07019,2025-12-19,Cancelled,Mobile App
O000372,C07424,2024-06-04,Delivered,Website
O000373,C03315,2025-11-26,Shipped,Mobile App
O000374,C17254,2024-06-08,Delivered,Marketplace
O000375,C04295,2025-10-22,Delivered,Website
O000376,C05425,2025-09-22,Delivered,Website
O000377,C07784,2025-09-07,Delivered,Mobile App
O000378,C14711,2025-07-19,Delivered,Website
O000379,C15369,2025-05-10,Delivered,Marketplace
O000380,C14438,2025-07-27,Shipped,Mobile App
O000381,C16480,2025-09-21,Delivered,Website
O000382,C06544,2025-05-09,Processing,Website
O000383,C15748,2025-05-10,Delivered,Website
O000384,C16906,2025-12-27,Delivered,Website
O000385,C05254,2025-04-09,Delivered,Mobile App
O000386,C14336,2024-07-19,Cancelled,Website
O000387,C14783,2025-06-06,Cancelled,Website
O000388,C12992,2025-10-23,Delivered,Website
O000389,C02675,2025-08-31,Delivered,Website
O000390,C03247,2025-12-29,Delivered,Website
O000391,C04786,2025-04-18,Delivered,Marketplace
O000392,C15482,2025-05-14,Shipped,Mobile App
O000393,C00173,2025-10-01,Delivered,Website
O000394,C04900,2025-11-28,Cancelled,Mobile App
O000395,C13870,2025-01-24,Shipped,Website
O000396,C03993,2025-04-16,Delivered,Mobile App
O000397,C14979,2025-05-08,Delivered,Marketplace
O000398,C19554,2025-11-24,Delivered,Mobile App
O000399,C07928,2025-12-08,Delivered,Website
O000400,C11562,2025-03-14,Delivered,Website
O000401,C02806,2025-12-08,Returned,Website
O000402,C17238,2025-12-22,Delivered,Marketplace
O000403,C18159,2024-01-21,Delivered,Mobile App
O000404,C12678,2025-10-22,Delivered,Website
O000405,C02214,2025-05-12,Delivered,Mobile App
O000406,C03397,2025-11-30,Shipped,Website
O000407,C01453,2025-08-28,Delivered,Mobile App
O000408,C05738,2025-11-17,Returned,Mobile App
O000409,C05973,2025-12-10,Delivered,Mobile App
O000410,C14998,2024-09-19,Delivered,Website
O000411,C06537,2025-11-12,Delivered,Marketplace
O000412,C16889,2025-08-30,Returned,Mobile App
O000413,C08301,2024-10-21,Shipped,Website
O000414,C11698,2024-04-19,Processing,Website
O000415,C04079,2025-07-17,Delivered,Website
O000416,C14410,2025-08-27,Delivered,Website
O000417,C16303,2025-11-15,Cancelled,Mobile App
O000418,C02708,2025-12-03,Delivered,Website
O000419,C05914,2025-09-22,Delivered,Website
O000420,C10746,2025-12-31,Delivered,Website
O000421,C13963,2025-09-25,Delivered,Website
O000422,C01388,2025-11-15,Delivered,Website
O000423,C01880,2024-12-06,Delivered,Website
O000424,C16813,2024-12-31,Returned,Website
O000425,C19909,2025-11-14,Delivered,Website
O000426,C12004,2025-03-10,Delivered,Mobile App
O000427,C19828,2025-12-25,Delivered,Marketplace
O000428,C12191,2025-08-20,Shipped,Mobile App
O000429,C17350,2025-09-29,Delivered,Mobile App
O000430,C08180,2024-10-25,Delivered,Website
O000431,C16966,2025-06-03,Cancelled,Website
O000432,C08530,2025-11-29,Delivered,Mobile App
O000433,C16096,2025-04-06,Delivered,Marketplace
O000434,C14813,2025-03-13,Processing,Website
O000435,C02877,2025-11-08,Delivered,Mobile App
O000436,C18023,2025-11-22,Delivered,Website
O000437,C05162,2025-06-29,Shipped,Mobile App
O000438,C03977,2025-12-28,Delivered,Website
O000439,C16189,2024-08-25,Delivered,Mobile App
O000440,C15316,2025-09-20,Delivered,Marketplace
O000441,C02155,2025-04-27,Delivered,Mobile App
O000442,C15685,2025-08-12,Delivered,Website
O000443,C18839,2024-05-05,Delivered,Website
O000444,C02431,2025-10-20,Delivered,Mobile App
O000445,C04206,2025-12-10,Delivered,Website
O000446,C04229,2025-04-12,Delivered,Marketplace
O000447,C04069,2025-10-24,Delivered,Website
O000448,C10573,2025-05-21,Delivered,Marketplace
O000449,C09308,2025-02-04,Delivered,Mobile App
O000450,C18050,2025-05-06,Delivered,Website
O000451,C17482,2025-04-20,Delivered,Website
O000452,C19027,2025-06-16,Delivered,Mobile App
O000453,C19830,2025-05-12,Processing,Mobile App
O000454,C00930,2024-07-06,Delivered,Mobile App
O000455,C18900,2025-09-03,Delivered,Mobile App
O000456,C13651,2025-08-31,Delivered,Mobile App
O000457,C17878,2024-12-27,Delivered,Website
O000458,C08025,2025-09-16,Delivered,Website
O000459,C01964,2024-10-05,Delivered,Mobile App
O000460,C06686,2025-06-11,Delivered,Website
O000461,C10464,2025-12-20,Returned,Website
O000462,C12142,2025-11-01,Delivered,Website
O000463,C15286,2025-04-27,Delivered,Website
O000464,C03173,2025-05-06,Delivered,Website
O000465,C13702,2025-03-01,Returned,Marketplace
O000466,C10730,2025-12-01,Shipped,Website
O000467,C05222,2025-09-16,Returned,Mobile App
O000468,C10111,2025-12-18,Delivered,Marketplace
O000469,C16563,2025-06-10,Returned,Website
O000470,C11564,2025-10-19,Delivered,Mobile App
O000471,C15421,2025-05-18,Delivered,Mobile App
O000472,C14121,2025-03-17,Processing,Mobile App
O000473,C13214,2025-11-24,Delivered,Website
O000474,C18410,2025-09-28,Delivered,Website
O000475,C12660,2025-10-13,Delivered,Mobile App
O000476,C03894,2024-06-03,Returned,Website
O000477,C11112,2025-12-13,Cancelled,Mobile App
O000478,C06523,2025-12-25,Delivered,Website
O000479,C01276,2024-12-22,Delivered,Mobile App
O000480,C17018,2025-08-15,Delivered,Marketplace
O000481,C04581,2025-09-26,Cancelled,Website
O000482,C12877,2025-05-31,Delivered,Mobile App
O000483,C16703,2025-08-05,Delivered,Mobile App
O000484,C15562,2024-02-16,Delivered,Mobile App
O000485,C13650,2025-09-25,Delivered,Marketplace
O000486,C00874,2025-11-11,Delivered,Mobile App
O000487,C18956,2025-10-05,Delivered,Website
O000488,C15744,2025-02-10,Delivered,Mobile App
O000489,C12459,2025-11-11,Processing,Website
O000490,C18762,2024-09-06,Delivered,Website
O000491,C13723,2025-11-13,Delivered,Website
O000492,C16444,2025-12-20,Cancelled,Marketplace
O000493,C02041,2025-11-13,Delivered,Website
O000494,C10652,2025-12-11,Delivered,Website
O000495,C05675,2025-11-17,Cancelled,Website
O000496,C11610,2025-12-31,Shipped,Website
O000497,C15866,2024-12-26,Returned,Website
O000498,C09782,2025-02-21,Cancelled,Marketplace
O000499,C09471,2025-07-11,Delivered,Mobile App
O000500,C15723,2025-10-02,Delivered,Marketplace
O000501,C08961,2025-03-03,Delivered,Mobile App
O000502,C12442,2025-12-04,Shipped,Marketplace
O000503,C04800,2025-09-17,Delivered,Marketplace
O000504,C02590,2025-10-14,Cancelled,Mobile App
O000505,C15699,2025-11-22,Delivered,Mobile App
O000506,C18417,2025-01-06,Delivered,Mobile App
O000507,C19230,2025-07-14,Delivered,Mobile App
O000508,C17402,2024-09-23,Delivered,Website
O000509,C13544,2025-07-18,Delivered,Website
O000510,C04505,2025-06-26,Returned,Marketplace
O000511,C05176,2025-09-18,Delivered,Marketplace
O000512,C15588,2025-08-09,Delivered,Mobile App
O000513,C09413,2025-06-20,Delivered,Website
O000514,C02932,2025-09-29,Delivered,Mobile App
O000515,C01223,2024-10-29,Delivered,Mobile App
O000516,C01191,2025-10-06,Shipped,Website
O000517,C09486,2025-12-17,Delivered,Website
O000518,C19752,2024-10-04,Cancelled,Website
O000519,C14889,2025-10-28,Delivered,Mobile App
O000520,C04398,2025-10-11,Delivered,Website
O000521,C03692,2025-02-12,Delivered,Mobile App
O000522,C08431,2025-10-12,Delivered,Mobile App
O000523,C09668,2025-11-22,Delivered,Marketplace
O000524,C13288,2025-11-25,Delivered,Website
O000525,C03126,2025-02-15,Returned,Mobile App
O000526,C08129,2025-06-18,Delivered,Website
O000527,C08749,2025-11-08,Delivered,Mobile App
O000528,C00375,2025-07-04,Delivered,Mobile App
O000529,C02036,2025-12-10,Delivered,Website
O000530,C13285,2025-10-30,Delivered,Marketplace
O000531,C10191,2025-08-13,Delivered,Marketplace
O000532,C12044,2025-11-02,Delivered,Marketplace
O000533,C15670,2025-08-14,Delivered,Marketplace
O000534,C12243,2025-06-04,Delivered,Marketplace
O000535,C17614,2024-12-29,Shipped,Mobile App
O000536,C19524,2025-02-07,Delivered,Mobile App
O000537,C11855,2024-09-20,Cancelled,Website
O000538,C17946,2025-12-25,Delivered,Mobile App
O000539,C05392,2025-09-12,Processing,Website
O000540,C06731,2025-11-06,Delivered,Website
O000541,C16724,2025-11-02,Shipped,Mobile App
O000542,C16819,2025-07-08,Delivered,Website
O000543,C15152,2025-07-30,Shipped,Mobile App
O000544,C12975,2025-08-23,Shipped,Mobile App
O000545,C18951,2025-10-06,Delivered,Website
O000546,C02090,2025-06-30,Returned,Marketplace
O000547,C02262,2025-08-01,Delivered,Website
O000548,C04438,2025-12-12,Returned,Mobile App
O000549,C13775,2025-04-17,Returned,Website
O000550,C12370,2025-05-12,Delivered,Marketplace
O000551,C17672,2025-06-08,Delivered,Website
O000552,C05849,2025-12-18,Delivered,Website
O000553,C07298,2025-07-07,Shipped,Marketplace
O000554,C15172,2025-12-01,Delivered,Website
O000555,C12429,2025-10-24,Delivered,Mobile App
O000556,C05084,2025-01-03,Delivered,Marketplace
O000557,C03698,2024-07-15,Shipped,Website
O000558,C00513,2025-07-09,Delivered,Website
O000559,C01101,2025-06-15,Delivered,Mobile App
O000560,C01596,2024-11-24,Shipped,Website
O000561,C07679,2025-12-31,Delivered,Marketplace
O000562,C01850,2025-08-05,Delivered,Website
O000563,C18878,2025-06-04,Delivered,Mobile App
O000564,C10508,2025-03-29,Delivered,Website
O000565,C17081,2025-07-06,Delivered,Website
O000566,C18243,2025-08-15,Processing,Marketplace
O000567,C13999,2025-07-08,Delivered,Marketplace
O000568,C12490,2025-09-10,Delivered,Website
