customer_id,recency,frequency,monetary,R_score,F_score,M_score,RFM_score,customer_segment
C17305,12,12,645012.0,5,5,5,15,Champions
C10963,10,7,644896.5,5,4,5,14,Champions
C11741,100,9,644672.5,2,5,5,12,Loyal Customers
C13961,6,10,644618.5,5,5,5,15,Champions
C18260,57,4,644534.5,3,2,5,10,Loyal Customers
C13685,158,5,643966.0,2,3,5,10,Loyal Customers
C15883,113,8,643886.5,2,4,5,11,Loyal Customers
C16246,35,8,643845.0,4,4,5,13,Champions
C06212,127,8,643739.0,2,4,5,11,Loyal Customers
C11901,1,9,643678.0,5,5,5,15,Champions
C03111,2,5,642910.5,5,3,5,13,Champions
C13518,4,9,642761.0,5,5,5,15,Champions
C07163,10,7,642356.5,5,4,5,14,Champions
